Some weights of DistilBertForSequenceClassification were not initialized from the model checkpoint at /home/models/distilbert and are newly initialized: ['pre_classifier.bias', 'classifier.bias', 'pre_classifier.weight', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[140302930089792] 2024-08-18 00:02:14,511 [INFO] root: clean train dataset: 4422, clean validation dataset: 339
50it [00:12,  4.12it/s][140302930089792] 2024-08-18 00:02:27,612 [INFO] root: Logits Loss: 5.229034423828125, Feature Loss: 0.5634515881538391
51it [00:12,  4.11it/s][140302930089792] 2024-08-18 00:02:27,854 [INFO] root: Logits Loss: 5.689962387084961, Feature Loss: 0.8044722676277161
52it [00:12,  4.12it/s][140302930089792] 2024-08-18 00:02:28,096 [INFO] root: Logits Loss: 5.1715192794799805, Feature Loss: 0.6015794277191162
53it [00:13,  4.12it/s][140302930089792] 2024-08-18 00:02:28,339 [INFO] root: Logits Loss: 4.79367208480835, Feature Loss: 0.4150809943675995
54it [00:13,  4.12it/s][140302930089792] 2024-08-18 00:02:28,582 [INFO] root: Logits Loss: 4.674825191497803, Feature Loss: 0.431121289730072
55it [00:13,  4.10it/s][140302930089792] 2024-08-18 00:02:28,826 [INFO] root: Logits Loss: 4.809378147125244, Feature Loss: 0.48503759503364563
56it [00:13,  4.09it/s][140302930089792] 2024-08-18 00:02:29,069 [INFO] root: Logits Loss: 3.2431747913360596, Feature Loss: 0.2712087631225586
57it [00:14,  4.12it/s][140302930089792] 2024-08-18 00:02:29,313 [INFO] root: Logits Loss: 4.597878456115723, Feature Loss: 0.3623397648334503
58it [00:14,  4.12it/s][140302930089792] 2024-08-18 00:02:29,556 [INFO] root: Logits Loss: 3.924018621444702, Feature Loss: 0.2731687128543854
59it [00:14,  4.12it/s][140302930089792] 2024-08-18 00:02:29,800 [INFO] root: Logits Loss: 4.694697856903076, Feature Loss: 0.5412870049476624
60it [00:14,  4.11it/s][140302930089792] 2024-08-18 00:02:30,044 [INFO] root: Logits Loss: 3.8333845138549805, Feature Loss: 0.2391013503074646
61it [00:15,  4.11it/s][140302930089792] 2024-08-18 00:02:30,287 [INFO] root: Logits Loss: 2.851314067840576, Feature Loss: 0.15927353501319885
62it [00:15,  4.11it/s][140302930089792] 2024-08-18 00:02:30,531 [INFO] root: Logits Loss: 3.5950801372528076, Feature Loss: 0.2820296585559845
63it [00:15,  4.11it/s][140302930089792] 2024-08-18 00:02:30,773 [INFO] root: Logits Loss: 4.242635726928711, Feature Loss: 0.5152812004089355
64it [00:15,  4.11it/s][140302930089792] 2024-08-18 00:02:31,016 [INFO] root: Logits Loss: 3.8431742191314697, Feature Loss: 0.4586942791938782
65it [00:16,  4.11it/s][140302930089792] 2024-08-18 00:02:31,260 [INFO] root: Logits Loss: 3.486571788787842, Feature Loss: 0.33563703298568726
66it [00:16,  4.11it/s][140302930089792] 2024-08-18 00:02:31,504 [INFO] root: Logits Loss: 3.4730653762817383, Feature Loss: 0.3115869164466858
67it [00:16,  4.11it/s][140302930089792] 2024-08-18 00:02:31,748 [INFO] root: Logits Loss: 3.236912965774536, Feature Loss: 0.33769935369491577
68it [00:16,  4.11it/s][140302930089792] 2024-08-18 00:02:31,991 [INFO] root: Logits Loss: 3.677535057067871, Feature Loss: 0.30425262451171875
69it [00:16,  4.10it/s][140302930089792] 2024-08-18 00:02:32,237 [INFO] root: Logits Loss: 3.078847646713257, Feature Loss: 0.23497039079666138
70it [00:17,  4.09it/s][140302930089792] 2024-08-18 00:02:32,481 [INFO] root: Logits Loss: 3.958817481994629, Feature Loss: 0.6073612570762634
71it [00:17,  4.09it/s][140302930089792] 2024-08-18 00:02:32,726 [INFO] root: Logits Loss: 4.290919303894043, Feature Loss: 0.4911358654499054
72it [00:17,  4.10it/s][140302930089792] 2024-08-18 00:02:32,971 [INFO] root: Logits Loss: 3.3813655376434326, Feature Loss: 0.3860117495059967
73it [00:17,  4.09it/s][140302930089792] 2024-08-18 00:02:33,214 [INFO] root: Logits Loss: 3.0726826190948486, Feature Loss: 0.20035378634929657
74it [00:18,  4.09it/s][140302930089792] 2024-08-18 00:02:33,458 [INFO] root: Logits Loss: 3.151263952255249, Feature Loss: 0.390496164560318
75it [00:18,  4.10it/s][140302930089792] 2024-08-18 00:02:33,702 [INFO] root: Logits Loss: 2.206829071044922, Feature Loss: 0.11481896787881851
76it [00:18,  4.10it/s][140302930089792] 2024-08-18 00:02:33,947 [INFO] root: Logits Loss: 3.997000217437744, Feature Loss: 0.43485936522483826
77it [00:18,  4.09it/s][140302930089792] 2024-08-18 00:02:34,192 [INFO] root: Logits Loss: 3.367403030395508, Feature Loss: 0.5032404065132141
78it [00:19,  4.09it/s][140302930089792] 2024-08-18 00:02:34,436 [INFO] root: Logits Loss: 2.1114261150360107, Feature Loss: 0.15629644691944122
79it [00:19,  4.09it/s][140302930089792] 2024-08-18 00:02:34,682 [INFO] root: Logits Loss: 2.460706949234009, Feature Loss: 0.4383178651332855
80it [00:19,  4.08it/s][140302930089792] 2024-08-18 00:02:34,927 [INFO] root: Logits Loss: 2.65813946723938, Feature Loss: 0.27547726035118103
81it [00:19,  4.08it/s][140302930089792] 2024-08-18 00:02:35,173 [INFO] root: Logits Loss: 2.3919553756713867, Feature Loss: 0.3110494315624237
82it [00:20,  4.08it/s][140302930089792] 2024-08-18 00:02:35,419 [INFO] root: Logits Loss: 2.8411669731140137, Feature Loss: 0.30904728174209595
